Total Food Sum
621617167347.7302
281800313050.74396
268560991261.2478
229476833844.76996
145931429447.44998
94129571154.09601
59813763029.91841
43164600390.308
38838115868.696
38578933257.918
32698115513.725998
31605897070.86
25926851407.017998
22617046665.674202
17899144717.43
16799452166.512
13886041187.49
7594734652.828
4228747759.7172
2610706799.8283997
1863952079.2640002
1608743470.6
